,HillClimbing,SteepestAscentHillClimbing,SteepestAscentHillClimbingWithReplacement,RandomSearch,HillClimbingWithRandomRestarts,SimmulatedAnneling,IteratedLocalSearchWithRandomRestarts,Evolutivo
0,-17.87216174681145,-18.353684727444133,-17.439098923963115,-18.455673441162546,-17.982128977231554,-18.45599870870713,-17.692487775652893,-17.574661350200685
1,-17.455811073624307,-18.302206579060865,-18.08772900236795,-16.22288375026154,-17.71964632332596,-18.49323495628279,-17.97554341991401,-13.527607506225566
2,-17.061473580440584,-17.807759886628553,-17.077244053672658,-17.256462968509343,-16.928664735662622,-18.31504903359243,-17.796738472203963,-18.09903444241514
3,-18.05447201403448,-18.336926818114545,-17.455920832784294,-18.22788322914083,-17.14045225977163,-17.824327609262916,-17.699571311872578,-4.1867931098077
4,-17.629272949658656,-15.421190694165645,-16.42255288559885,-18.057376497492285,-16.540524122008367,-16.5781771000147,-18.1668823777949,-16.946617847997764
5,-18.26492811136535,-16.582690323145567,-18.048970258619207,-18.165039666415193,-18.230451929018862,-17.7459057380606,-17.64576961847618,-15.277281952056487
6,-17.79152292943794,-18.545582080953597,-17.695573444109083,-18.33590645405348,-17.279006254861784,-16.466305478812103,-18.4429192110208,-5.437301904966511
7,-17.85876793647293,-18.36859678853135,-18.282148617028284,-18.549066289592098,-18.30824765556487,-18.451961200884313,-18.282644282172175,-7.140466839792654
8,-17.802162483839332,-18.0257042411791,-18.001280924090665,-16.974721249193102,-18.29017362578804,-16.480744165210222,-17.543155230294765,-18.484967097342867
9,-17.822199655002507,-17.52661318375966,-18.480129996946793,-17.08764731008325,-18.488288172088684,-17.720826418715006,-16.99610041326272,-16.458004163252543
,HillClimbing,SteepestAscentHillClimbing,SteepestAscentHillClimbingWithReplacement,RandomSearch,HillClimbingWithRandomRestarts,SimmulatedAnneling,IteratedLocalSearchWithRandomRestarts,Evolutivo
0,-0.22719745613494757,-0.21107858922959144,-0.22632805625933794,-0.223483483051782,-0.22977044362093768,-0.20412315967208716,-0.21472425967123754,0.5280991473695995
1,-0.23050735521923005,-0.2287531020329261,-0.22434875031022994,-0.22047946044167854,-0.2210070763733858,-0.20847477526797797,-0.22950387670673555,0.37187136314825053
2,-0.2265694781551869,-0.21662447945986585,-0.2114573961897671,-0.22865146987659757,-0.2266760539025624,-0.22751056061518593,-0.20097310615142439,-0.1742936708980637
3,-0.22847873526450702,-0.230496671006174,-0.22076802939419782,-0.22960960331891,-0.23020303244748808,-0.22883184051186956,-0.21872003155299014,0.3155875081585016
4,-0.21606574998292138,-0.22682355039102697,-0.22438887441116306,-0.2305720576071647,-0.21644890586766208,-0.22882371824743353,-0.1712283097520907,0.43926955836960546
5,-0.22604998138372745,-0.22661684402676596,-0.2260291416268061,-0.2119397492631253,-0.21804862842720374,-0.20207017782066194,-0.2256553128396791,0.01020158186851311
6,-0.21869081268199675,-0.20978054866670404,-0.2265233081148048,-0.21687617918180513,-0.22603949893112907,-0.22151435596866897,-0.2255722766885372,0.5685202407401244
7,-0.2189144419421144,-0.2235909899557812,-0.229645458029892,-0.21852084007997463,-0.22993297800550083,-0.22084886989722696,-0.23018262514044374,0.7090235996618821
8,-0.21640229519261422,-0.22794415287964143,-0.22738580780029738,-0.22498002145477602,-0.2200180824976843,-0.2191116982146405,-0.20197016742942908,0.5507512040651584
9,-0.21169487945247734,-0.2294760128579142,-0.22521604806283535,-0.2298989408011477,-0.22165177025764282,-0.2174217911578754,-0.21237804278431938,0.21759127319589527
,HillClimbing,SteepestAscentHillClimbing,SteepestAscentHillClimbingWithReplacement,RandomSearch,HillClimbingWithRandomRestarts,SimmulatedAnneling,IteratedLocalSearchWithRandomRestarts,Evolutivo
0,-0.024535389461455392,-0.1435375455240866,-0.18754134874691042,-0.024777072460058114,-0.15962067980190509,-0.18712728527726064,-0.02542833478030415,-0.21020617212642806
1,-0.08707419143792083,-0.01613385746787066,-0.055700420030403985,-0.12342324616545564,0.023014449391793534,-0.051420484475398265,0.040175675310180736,-0.177215980249239
2,-0.054842283089093224,-0.19840039311832425,-0.041662180778730074,0.024767860459618762,-0.0713855152688967,-0.1481390699175268,-0.1213377772228853,-0.21258523312074654
3,-0.14748741522336128,-0.09268649756961861,-0.08075775784174866,-0.0055971481663043,-0.06466301665717922,-0.08976433439141529,0.04298939106745325,-0.20715118655940631
4,-0.12364091988942183,-0.10798160512734989,-0.07371479064135977,0.16494702265237837,-0.043168685832075115,-0.1068362920989877,-0.2298315409086989,-0.21424053847057842
5,-0.010842538109107513,-0.0446964903356587,-0.12633086315692066,-0.022908915407541364,-0.03569546244578403,-0.13806865819781888,-0.039914090971750804,-0.21520003370991478
6,0.023712975052037844,0.020722254465295076,-0.22409438047473296,-0.015259324759135051,-0.13343299788134955,-0.029550033143885712,-0.1393388654199349,2.6000823210562283
7,0.035840082929214145,-0.03704506759708748,-0.0017281719694072217,-0.0529239597633866,-0.085208308528532,-0.03558694290986897,0.04075579679198105,-0.20780176002567885
8,-0.07333503717484458,-0.22735929013431277,-0.10054482959469702,0.17153974219887003,-0.016673070916035593,0.05629915809552466,-0.10735759925491417,5.268952896025238
9,-0.03264578559824277,-0.1122726845547718,0.11306974975433148,-0.12841769827633298,0.10126319444130438,-0.009747087113673447,0.1403493052499345,-0.214792424845358
